zone,feature_set,fold,dataset_split,sample,model,rmse,mae,r2
NO_1,full,fold_4,validation,all,xgb,10.69383363874273,6.4740587578828945,0.822961419705643
NO_1,full,fold_4,validation,spike_hours,lgbm,58.39995625105904,48.2844183405775,-3.0884123132520873
NO_1,full,fold_4,validation,spike_hours,xgb,56.54764516721878,43.64323201693021,-2.833175400507158
NO_2,autoregressive,final_test,test,all,lgbm,8.810772288483893,4.616730865460068,0.8990086380042284
NO_2,autoregressive,final_test,test,all,xgb,8.777549000921734,4.650190976392141,0.8997688299613973
NO_2,autoregressive,final_test,test,spike_hours,lgbm,39.04563041757487,28.777584800392248,0.22255161340824992
NO_2,autoregressive,final_test,test,spike_hours,xgb,37.72659136283749,27.35224532085917,0.27419187718915883
NO_2,autoregressive,fold_1,validation,all,lgbm,7.4753230536514605,3.9381878728873034,0.841334213279473
NO_2,autoregressive,fold_1,validation,all,xgb,7.77688365028081,3.9687678341983323,0.8282745904638904
NO_2,autoregressive,fold_1,validation,spike_hours,lgbm,81.10564490120939,69.94938150288093,-16.758533199200393
NO_2,autoregressive,fold_1,validation,spike_hours,xgb,83.70496978767059,70.66260353088379,-17.915046606228636
NO_2,autoregressive,fold_2,validation,all,lgbm,30.068699935903123,7.92993221290571,0.6879327612364801
NO_2,autoregressive,fold_2,validation,all,xgb,31.404326724983804,8.66377945935961,0.6595934955006518
NO_2,autoregressive,fold_2,validation,spike_hours,lgbm,120.09881283383856,65.30757900758618,0.16015848781060904
NO_2,autoregressive,fold_2,validation,spike_hours,xgb,125.29762837723523,67.17826844089716,0.08587495030145409
NO_2,autoregressive,fold_3,validation,all,lgbm,17.465576368120132,8.11793371524857,0.8396617249320532
NO_2,autoregressive,fold_3,validation,all,xgb,17.90169607092937,7.951380682349371,0.8315543802307197
NO_2,autoregressive,fold_3,validation,spike_hours,lgbm,44.244309054239395,28.85093225918677,0.07625150897055633
NO_2,autoregressive,fold_3,validation,spike_hours,xgb,47.15110333259959,29.250633294652197,-0.04911386508945692
NO_2,autoregressive,fold_4,validation,all,lgbm,9.76890235901305,5.72992015132314,0.8496100705977377
NO_2,autoregressive,fold_4,validation,all,xgb,9.766662448991674,5.682417602853325,0.8496790284557093
NO_2,autoregressive,fold_4,validation,spike_hours,lgbm,48.66955383887699,35.84097217758035,-2.6066433403304945
NO_2,autoregressive,fold_4,validation,spike_hours,xgb,47.0846756833093,35.20712476533035,-2.375574006201079
NO_2,exogenous,final_test,test,all,lgbm,24.636883381866426,19.809252936174396,0.21036241710212922
NO_2,exogenous,final_test,test,all,xgb,23.397349134610593,18.653562652097232,0.2878203069160101
NO_2,exogenous,final_test,test,spike_hours,lgbm,91.72180988406218,80.0914532258417,-3.290144495277758
NO_2,exogenous,final_test,test,spike_hours,xgb,84.88730530759956,72.13773058352263,-2.674617872746828
NO_2,exogenous,fold_1,validation,all,lgbm,21.457885733135445,18.73783871008177,-0.30736608408444255
NO_2,exogenous,fold_1,validation,all,xgb,21.17181585035522,18.41917964309346,-0.27273964847823495
NO_2,exogenous,fold_1,validation,spike_hours,lgbm,89.31805451666126,88.21877926346927,-20.536912200581934
NO_2,exogenous,fold_1,validation,spike_hours,xgb,90.11373728788584,88.94682899475097,-20.922341101189183
NO_2,exogenous,fold_2,validation,all,lgbm,50.19418970358812,31.991307914299426,0.13038750482515826
NO_2,exogenous,fold_2,validation,all,xgb,50.147610084135316,32.828401759731165,0.13200073634408804
NO_2,exogenous,fold_2,validation,spike_hours,lgbm,153.13292585430048,87.72590437098461,-0.365391105706395
NO_2,exogenous,fold_2,validation,spike_hours,xgb,149.5843669336216,83.64957246292471,-0.3028437203159873
NO_2,exogenous,fold_3,validation,all,lgbm,38.01877921903353,26.45017421788901,0.24025526658556584
NO_2,exogenous,fold_3,validation,all,xgb,41.78539346766463,28.012348049600238,0.08225853327358534
NO_2,exogenous,fold_3,validation,spike_hours,lgbm,73.71384051114265,58.422944786061386,-1.5641119617499668
NO_2,exogenous,fold_3,validation,spike_hours,xgb,81.82384909305705,65.21986281390969,-2.159357110679264
NO_2,exogenous,fold_4,validation,all,lgbm,23.60727999052102,17.063642386415943,0.12174805610923678
NO_2,exogenous,fold_4,validation,all,xgb,23.792853750252213,17.200993220360726,0.10788613727670804
NO_2,exogenous,fold_4,validation,spike_hours,lgbm,81.25232527510033,76.39156298179343,-9.052175541165548
NO_2,exogenous,fold_4,validation,spike_hours,xgb,79.21139432328611,74.34788585794382,-8.5535280546445
NO_2,full,final_test,test,all,lgbm,9.2603236745238,5.371481478379828,0.8884399735898274
NO_2,full,final_test,test,all,xgb,9.745477230648396,6.017213334058937,0.8764443820444323
NO_2,full,final_test,test,spike_hours,lgbm,40.202551670927825,30.99001730722526,0.17579750320703735
NO_2,full,final_test,test,spike_hours,xgb,40.845985220516475,30.8241344650932,0.14920399889946834
NO_2,full,fold_1,validation,all,lgbm,7.287287944840458,3.813550962924644,0.8492160145318512
NO_2,full,fold_1,validation,all,xgb,7.3954519979122555,3.844993232644427,0.8447066700144328
NO_2,full,fold_1,validation,spike_hours,lgbm,83.33961224346287,71.35750396799618,-17.750285233610132
NO_2,full,fold_1,validation,spike_hours,xgb,85.57849502660353,75.31020656585693,-18.77125408139047
NO_2,full,fold_2,validation,all,lgbm,32.18035990651618,8.605219416197208,0.6425620424231486
NO_2,full,fold_2,validation,all,xgb,32.70956165715149,8.967016945542579,0.6307093395551269
NO_2,full,fold_2,validation,spike_hours,lgbm,129.3821940049544,71.08233546194724,0.025304566556627717
NO_2,full,fold_2,validation,spike_hours,xgb,131.21063423257957,71.31218806185463,-0.0024390539614127515
NO_2,full,fold_3,validation,all,lgbm,14.639772816070163,7.533509831772116,0.8873477066020575
NO_2,full,fold_3,validation,all,xgb,18.29773421091153,8.108906125929579,0.8240189142986641
NO_2,full,fold_3,validation,spike_hours,lgbm,35.23301222420084,24.77384507301304,0.41421471709187363
NO_2,full,fold_3,validation,spike_hours,xgb,47.645806279466264,28.91218601753522,-0.07124366994804832
NO_2,full,fold_4,validation,all,lgbm,10.104753784100344,6.125479616063013,0.8390916099957041
NO_2,full,fold_4,validation,all,xgb,10.189435338559392,6.333182096961653,0.8363833662887882
NO_2,full,fold_4,validation,spike_hours,lgbm,49.625544054241004,39.465794232967006,-2.749721641179518
NO_2,full,fold_4,validation,spike_hours,xgb,47.398130794037456,36.87232933307517,-2.420667782625065
NO_3,autoregressive,final_test,test,all,lgbm,5.692621604948845,2.9684507779251095,0.9477837847296058
NO_3,autoregressive,final_test,test,all,xgb,5.53702088387996,2.931814827312601,0.9505993026249077
NO_3,autoregressive,final_test,test,spike_hours,lgbm,18.796184163875168,13.831751089480436,0.4831723935766372
NO_3,autoregressive,final_test,test,spike_hours,xgb,17.642689571281387,13.050614723646936,0.5446598925804169
NO_3,autoregressive,fold_1,validation,all,lgbm,1.6038967403904933,0.9721199022973734,0.9666751813777779
NO_3,autoregressive,fold_1,validation,all,xgb,1.5944021533314097,0.9450083849216266,0.9670685594191952
NO_3,autoregressive,fold_2,validation,all,lgbm,7.016549489222317,2.551910313009296,0.8399054610893212
NO_3,autoregressive,fold_2,validation,all,xgb,6.7242754965892875,2.641569869850207,0.8529651343854852
NO_3,autoregressive,fold_2,validation,spike_hours,lgbm,54.480467104917224,39.72710943395255,-2.788147276738905
NO_3,autoregressive,fold_2,validation,spike_hours,xgb,49.94976786312136,38.37819123041062,-2.184286669799201
NO_3,autoregressive,fold_3,validation,all,lgbm,9.171665462747464,4.536106016833285,0.8896130594531115
NO_3,autoregressive,fold_3,validation,all,xgb,9.294066696484526,4.66357819380281,0.8866470426087621
NO_3,autoregressive,fold_3,validation,spike_hours,lgbm,29.741197125541568,20.25101772373013,-0.0015487248750878368
NO_3,autoregressive,fold_3,validation,spike_hours,xgb,33.82966015183716,24.106849693475766,-0.29583725378702463
NO_3,autoregressive,fold_4,validation,all,lgbm,5.77874233584311,3.3745091261466937,0.8144433791925836
NO_3,autoregressive,fold_4,validation,all,xgb,5.7983743623121535,3.429435799935425,0.8131804606609695
NO_3,autoregressive,fold_4,validation,spike_hours,lgbm,18.41560145817848,16.876956255009606,-0.1842569059001964
NO_3,autoregressive,fold_4,validation,spike_hours,xgb,18.436568976376247,13.443555145263671,-0.1869551684795383
NO_3,exogenous,final_test,test,all,lgbm,19.07026651692484,14.037667366219864,0.4140044988065281
NO_3,exogenous,final_test,test,all,xgb,19.566448646102142,14.530148862446996,0.38311420270296037
NO_3,exogenous,final_test,test,spike_hours,lgbm,63.18482010131189,59.822051720094784,-4.840255230106516
NO_3,exogenous,final_test,test,spike_hours,xgb,66.58718938413047,63.01682922489387,-5.486160456737065
NO_3,exogenous,fold_1,validation,all,lgbm,7.878115908619822,5.92735030480021,0.19599320870872117
NO_3,exogenous,fold_1,validation,all,xgb,7.880623815655268,6.030908692613534,0.19548123471480472
NO_3,exogenous,fold_2,validation,all,lgbm,23.866137623412108,17.807058171248567,-0.8522244532252303
NO_3,exogenous,fold_2,validation,all,xgb,24.360811490749974,18.50993038661022,-0.929802365705374
NO_3,exogenous,fold_2,validation,spike_hours,lgbm,64.64720885845702,58.48600128570257,-4.333898759554404
NO_3,exogenous,fold_2,validation,spike_hours,xgb,66.17195341385188,59.52669948759533,-4.588472536109685
NO_3,exogenous,fold_3,validation,all,lgbm,27.294392283489657,20.93116027443817,0.022384352816076758
NO_3,exogenous,fold_3,validation,all,xgb,27.66933233398945,22.005523519193538,-0.0046589215601327005
NO_3,exogenous,fold_3,validation,spike_hours,lgbm,92.07597979125619,87.00552454435926,-8.599484002733787
NO_3,exogenous,fold_3,validation,spike_hours,xgb,87.01083409905853,81.64354923337005,-7.572388699678923
NO_3,exogenous,fold_4,validation,all,lgbm,18.455379333864823,16.32230656817113,-0.892586536767888
NO_3,exogenous,fold_4,validation,all,xgb,21.141989716983623,19.019124262551248,-1.4837135609179088
NO_3,exogenous,fold_4,validation,spike_hours,lgbm,73.14886666060569,71.11211134069075,-17.684837028777036
NO_3,exogenous,fold_4,validation,spike_hours,xgb,71.55299139436737,69.50167329788208,-16.878443261545968
NO_3,full,final_test,test,all,lgbm,6.131082574371169,3.741741965892267,0.9394303467622775
NO_3,full,final_test,test,all,xgb,6.334506333889746,3.88445784840888,0.935344376197906
NO_3,full,final_test,test,spike_hours,lgbm,20.300709840995363,15.465525445905746,0.39712292722506026
NO_3,full,final_test,test,spike_hours,xgb,21.958720007775778,17.505928499836568,0.29462451378525045
NO_3,full,fold_1,validation,all,lgbm,1.8506535758932123,1.273831598958641,0.9556324705511152
NO_3,full,fold_1,validation,all,xgb,1.759500342984055,1.1665069802604155,0.9598954454899798
NO_3,full,fold_2,validation,all,lgbm,6.8235291904813264,2.7893325978294357,0.8485924821561726
NO_3,full,fold_2,validation,all,xgb,6.283489290390019,2.729189304548208,0.8716100319982698
NO_3,full,fold_2,validation,spike_hours,lgbm,48.268397896804835,36.16734705412367,-1.9735207853960812
NO_3,full,fold_2,validation,spike_hours,xgb,43.923756897752384,30.92959772745768,-1.462318163822017
NO_3,full,fold_3,validation,all,lgbm,8.87185056171543,4.602025871036817,0.8967120348224544
NO_3,full,fold_3,validation,all,xgb,8.8335652260582,4.973269380008031,0.8976015633383074
NO_3,full,fold_3,validation,spike_hours,lgbm,30.085545890118752,22.4431807194544,-0.024875198046256708
NO_3,full,fold_3,validation,spike_hours,xgb,27.601875378422594,19.545104479235274,0.13735447690403968
NO_3,full,fold_4,validation,all,lgbm,6.004754013507687,3.8984154052828828,0.7996449763796459
NO_3,full,fold_4,validation,all,xgb,6.411203564163296,4.2682605540782435,0.7716037720630957
NO_3,full,fold_4,validation,spike_hours,lgbm,26.132481884778088,20.977367997862018,-1.3847091979629256
NO_3,full,fold_4,validation,spike_hours,xgb,28.33425991602539,21.29703895568847,-1.8034825531048222
NO_4,autoregressive,final_test,test,all,lgbm,5.219002845518346,2.0267424620716534,0.9481135113622646
NO_4,autoregressive,final_test,test,all,xgb,5.163160402120842,1.9962244036963355,0.9492179242859428
NO_4,autoregressive,final_test,test,spike_hours,lgbm,17.642397716405487,12.736648771444182,0.6932566047595454
NO_4,autoregressive,final_test,test,spike_hours,xgb,17.78826441446223,12.894827036552241,0.6881633497099096
NO_4,autoregressive,fold_1,validation,all,lgbm,1.666497377166591,1.0772187534,0.9630985304181443
NO_4,autoregressive,fold_1,validation,all,xgb,1.5109123614613316,0.9461185404162119,0.9696671692506098
NO_4,autoregressive,fold_2,validation,all,lgbm,1.3971047234921925,0.8867012685275482,0.9537904653792774
NO_4,autoregressive,fold_2,validation,all,xgb,1.504793848163837,1.0606057711597026,0.9463922367477046
NO_4,autoregressive,fold_3,validation,all,lgbm,5.751843636554679,2.16877348308217,0.8346514434108078
NO_4,autoregressive,fold_3,validation,all,xgb,6.173739653735253,2.5049504704881786,0.8095053038807136
NO_4,autoregressive,fold_3,validation,spike_hours,lgbm,47.07753268010894,39.84856724346385,-0.2964241778854595
NO_4,autoregressive,fold_3,validation,spike_hours,xgb,52.305830563812094,46.46075371461756,-0.6003682993461374
NO_4,autoregressive,fold_4,validation,all,lgbm,4.968806263113421,1.8736366476595632,0.7573764432910933
